x,y
327,0.246764489
328,0.785764881
329,0.860382854
330,0.612724662
331,0.22200677
332,0.106451546
333,0.932132096
334,0.587932524
335,0.522154859
336,0.358821884
337,0.074397128
338,0.322050166
339,0.31980947
340,0.024348294
341,0.528920651
342,0.604474236
343,0.938965387
344,0.425071061
345,0.621777713
346,0.396151516
347,0.857156625
348,0.978911528
349,0.809910671
350,0.435933959
351,0.781593851
352,0.109099431
353,0.909762352
354,0.644302599
355,0.873094345
356,0.680218215
357,0.345104919
358,0.353734993
359,0.148582034
360,0.430526676
361,0.494655924
362,0.947277913
363,0.322970987
364,0.227211474
365,0.076485004
366,0.196921151
367,0.773461074
368,0.888409716
369,0.860554891
370,0.47194355
371,0.496649011
372,0.423239181
373,0.497466294
374,0.07481067
375,0.703839097
376,0.709009985
377,0.099014242
378,0.770105552
379,0.050597245
380,0.359118674
381,0.64434877
382,0.969311867
383,0.541115972
384,0.920749308
385,0.594182855
386,0.131112585
387,0.372641075
388,0.034734104
389,0.214520342
390,0.486891973
391,0.456719248
392,0.660129395
393,0.852378094
394,0.444048787
395,0.396594561
396,0.735359472
397,0.802595085
398,0.319269978
399,0.821002088
400,0.285706758
401,0.819315005
402,0.370550377
403,0.041685462
404,0.208292404
405,0.525739492
406,0.811272976
407,0.850003636
408,0.804572534
409,0.465986408
410,0.919864646
411,0.284780598
412,0.120436896
413,0.336974327
414,0.617491256
415,0.87303932
416,0.790708565
417,0.911992826
418,0.968585851
419,0.60288651
420,0.726294969
421,0.970945567
422,0.619404464
423,0.610796394
424,0.108146408
425,0.747321092
426,0.594418571
427,0.299524273
428,0.29593114
429,0.319042845
430,0.293906926
431,0.711491861
432,0.380648015
433,0.812940196
434,0.481308191
435,0.014409053
436,0.941833585
437,0.942037634
438,0.30862593
439,0.948071011
440,0.573389895
441,0.616455401
442,0.953150574
443,0.717945613
444,0.870831267
445,0.132118822
446,0.614672363
447,0.214057609
448,0.160274724
449,0.251144123
450,0.575291476
451,0.563192347
452,0.761648271
453,0.955026688
454,0.075163421
455,0.921229059
456,0.828534633
457,0.057217618
458,0.623791462
459,0.944213868
460,0.644078711
461,0.513260855
462,0.375192953
463,0.848731769
464,0.546891748
465,0.159769326
466,0.747359542
467,0.793205603
468,0.106135425
469,0.660037452
470,0.32251562
471,0.107705877
472,0.845409428
473,0.621639562
474,0.412662682
475,0.314223374
476,0.907595548
477,0.260364192
478,0.474856309
479,0.364645393
480,0.680835105
481,0.04887842
482,0.875449735
483,0.54461918
484,0.267260031
485,0.745519048
486,0.074829237
487,0.285209097
488,0.78897318
489,0.467434345
490,0.50427974
491,0.581910353
492,0.920931981
493,0.502763895
494,0.023015701
495,0.311944728
496,0.81364434
497,0.77799236
498,0.699891862
499,0.620016786
500,0.289462442
501,0.743398045
502,0.039991652
503,0.138681844
504,0.007197225
505,0.082778923
506,0.209993904
507,0.404143006
508,0.969276234
509,0.0282138
510,0.335343013
511,0.85136396
512,0.040243522
513,0.8521457
514,0.335742453
515,0.395176541
516,0.333652211
517,0.431855032
518,0.735828858
519,0.72251978
520,0.589842139
521,0.292847476
522,0.77557974
523,0.071314979
524,0.809064748
525,0.591054784
526,0.012940212
527,0.718314457
528,0.719353307
529,0.553076265
530,0.132208728
531,0.801503369
532,0.233704742
533,0.679671571
534,0.691919087
535,0.592153844
536,0.838079137
537,0.278043646
538,0.682693105
539,0.890775171
540,0.795896051
541,0.711839309
542,0.781765959
543,0.267086699
544,0.540791078
545,0.554487521
546,0.990312116
547,0.600345092
548,0.143079829
549,0.866705517
550,0.267002054
551,0.900869265
552,0.079154056
553,0.517380181
554,0.747381963
555,0.635262187
556,0.822694827
557,0.148845216
558,0.30534479
559,0.218860052
560,0.84881919
561,0.175522877
562,0.353710808
563,0.518870534
564,0.569493719
565,0.55651197
566,0.428647856
567,0.683783095
568,0.368881477
569,0.269982496
570,0.560313954
571,0.725648659
572,0.991127574
573,0.58787877
574,0.671488813
575,0.539834294
576,0.095268889
577,0.915756667
578,0.34694167
579,0.229319223
580,0.39352248
581,0.822764198
582,0.96740312
583,0.155346713
584,0.294368014
585,0.313992654
586,0.450895893
587,0.84877667
588,0.534249373
589,0.404989134
590,0.664617459
591,0.242799745
592,0.03374883
593,0.553684581
594,0.492973524
595,0.717525102
596,0.344391927
597,0.876495682
598,0.40424122
599,0.771935975
600,0.015121707
601,0.84704052
602,0.059880282
603,0.763390659
604,0.683683457
605,0.145033067
606,0.941628791
607,0.544326085
608,0.353171669
609,0.651358981
610,0.156973693
611,0.978636195
612,0.528317112
613,0.085209058
614,0.698170511
615,0.180262821
616,0.03984675
617,0.87743816
618,0.635871875
619,0.302018912
620,0.013383788
621,0.666226728
622,0.914606412
623,0.224266696
624,0.902969214
625,0.012389436
626,0.721972334
627,0.591488869
628,0.97834806
629,0.279105166
630,0.095922464
631,0.118039082
632,0.557904963
633,0.682221296
634,0.795340868
635,0.333342678
636,0.755520409
637,0.22045409
638,0.618516667
639,0.537298679
640,0.539172664
641,0.551290512
642,0.697809254
643,0.149455426
644,0.915838487
645,0.110055004
646,0.162561795
647,0.266116852
648,0.252324623
649,0.072198645
650,0.721610359
651,0.504164972
652,0.384963126
653,0.131114648
654,0.576386659
655,0.282482224
656,0.674950242
657,0.857376875
658,0.634637323
659,0.009864495
660,0.400029833
661,0.910976904
662,0.411099083
663,0.186163929
664,0.69845602
665,0.329511288
666,0.263731626
667,0.717519236
668,0.5790566
669,0.657584562
670,0.694552613
671,0.577637078
672,0.102256173
673,0.44430563
674,0.685150351
675,0.435856724
676,0.201022636
677,0.791466644
678,0.769700196
679,0.971986776
680,0.342486371
681,0.405736727
682,0.598216346
683,0.569448395
684,0.673812181
685,0.777469205
686,0.934704724
687,0.931484882
688,0.729768971
689,0.477588646
690,0.139688635
691,0.021796546
692,0.607385811
693,0.179140093
694,0.253447917
695,0.805173277
696,0.519515026
697,0.279971382
698,0.705043526
699,0.565927327
700,0.316369331
701,0.585225251
702,0.690923869
703,0.947309712
704,0.6043092
705,0.0666262
706,0.115464222
707,0.357879018
708,0.208047601
709,0.924363204
710,0.441187855
711,0.481991683
712,0.640184134
713,0.884736031
714,0.462105005
715,0.703470334
716,0.192407882
717,0.530136882
718,0.859000865
719,0.309148438
720,0.51276103
721,0.294773052
722,0.896656738
723,0.155106733
724,0.233234617
725,0.960616778
726,0.796247152
727,0.982441863
728,0.605074565
729,0.013442543
730,0.972296824
731,0.066996285
732,0.531586593
733,0.798774287
734,0.739978551
735,0.655775819
736,0.131655757
737,0.918135454
738,0.858640853
739,0.718048092
740,0.990574412
741,0.643803872
742,0.88057853
743,0.789731727
744,0.184034546
745,0.310076994
746,0.368977267
747,0.86291085
748,0.43039046
749,0.517423705
750,0.969108487
751,0.356512954
752,0.930268582
753,0.916032848
754,0.996176825
755,0.471049962
756,0.193966359
757,0.141305171
758,0.773006378
759,0.6705133
760,0.695031464
761,0.771611781
762,0.698640011
763,0.159361235
764,0.508914283
765,0.418073517
766,0.998570541
767,0.690648223
768,0.336091276
769,0.658648314
770,0.555730246
771,0.874656948
772,0.849536877
773,0.124541249
774,0.584394611
775,0.868505174
776,0.731000891
777,0.811073092
778,0.408859715
779,0.569251784
780,0.867643957
781,0.408033265
782,0.12375028
783,0.867248264
784,0.398686089
785,0.594515039
786,0.486599835
787,0.365832071
788,0.186819613
789,0.593450281
790,0.225377168
791,0.980691032
792,0.210252813
793,0.605419409
794,0.517604432
795,0.734547448
796,0.15963914
797,0.92373433
798,0.137918972
799,0.947514503
800,0.989813406
801,0.821741868
802,0.669079066
803,0.578598696
804,0.740433189
805,0.374542168
806,0.93707864
807,0.193817506
808,0.349825526
809,0.021611424
810,0.460510165
811,0.867790931
812,0.097378681
813,0.602437309
814,0.94517742
815,0.762058603
816,0.575832048
817,0.626616767
818,0.402261023
819,0.769896839
820,0.55927251
821,0.715578314
822,0.33733755
823,0.893837234
824,0.775809665
825,0.021305287
826,0.592376268
827,0.650147356
828,0.441061177
829,0.888868664
830,0.51574303
831,0.85224531
832,0.622703924
833,0.239198841
834,0.718088673
835,0.043001251
836,0.25847608
837,0.203792847
838,0.488143658
839,0.137404835
840,0.021498938
841,0.841071824
842,0.672297669
843,0.371379761
844,0.780711012
845,0.760023363
846,0.369306723
847,0.627112039
848,0.526204239
849,0.025224662
850,0.33409277
851,0.607450075
852,0.938204676
853,0.416391372
854,0.410350851
855,0.771935741
856,0.719816309
857,0.528500314
858,0.898511626
859,0.298294187
860,0.279494027
861,0.589000054
862,0.824917944
863,0.20276321
864,0.069658495
865,0.94704265
866,0.363758881
867,0.424808092
868,0.594269603
869,0.160169223
870,0.215553438
871,0.965629849
872,0.637015173
873,0.899260551
874,0.544424146
875,0.73490951
876,0.090516867
877,0.640953766
878,0.678699895
879,0.883730067
880,0.88284772
881,0.293377953
882,0.143371464
883,0.987689185
884,0.181619325
885,0.319815076
886,0.132413545
887,0.329562845
888,0.012449447
889,0.924600134
890,0.094422797
891,0.436689894
892,0.221145332
893,0.106015611
894,0.253901147
895,0.327307431
896,0.232178954
897,0.155580672
898,0.962831324
899,0.748036929
900,0.662232005
901,0.4960535
902,0.965901874
903,0.373870505
904,0.787778566
905,0.739601343
906,0.062886152
907,0.460049202
908,0.062815378
909,0.811167407
910,0.983621427
911,0.391607407
912,0.006903418
913,0.970251297
914,0.897641776
915,0.886331567
916,0.541775408
917,0.329666456
918,0.268403381
919,0.432116736
920,0.387738675
921,0.646851853
922,0.050315947
923,0.83001507
924,0.283965728
925,0.207292593
926,0.146194837
927,0.069222331
928,0.742517844
929,0.05217541
930,0.815583674
931,0.063676843
932,0.344662122
933,0.416437127
934,0.258870437
935,0.680243026
936,0.021585862
937,0.677614437
938,0.483572034
939,0.324923115
940,0.377238667
941,0.733013164
942,0.783899403
943,0.550780397
944,0.60440721
945,0.631355065
946,0.227871202
947,0.865772228
948,0.848039032
949,0.586167597
950,0.727365562
951,0.155095092
952,0.444383971
953,0.00761949
954,0.608339497
955,0.612703069
956,0.607812995
957,0.312783734
958,0.005724204
959,0.222275973
960,0.040801092
961,0.48822252
962,0.355263829
963,0.167570349
964,0.913631381
965,0.462509746
966,0.397598218
967,0.535002185
968,0.417550951
969,0.64320681
970,0.917145397
971,0.063136764
972,0.330977257
973,0.795846381
974,0.925612501
975,0.116711415
976,0.539192214
977,0.347097564
978,0.897546785
979,0.508568149
980,0.901533402
981,0.301117532
982,0.794049287
983,0.412003751
984,0.186763167
985,0.88222617
986,0.11416072
987,0.291719543
988,0.648204987
989,0.821337054
990,0.880997881
991,0.984351542
992,0.651498465
993,0.546548986
994,0.020349075
995,0.842009832
996,0.142146046
997,0.402518344
998,0.730453003
999,0.641290477
1000,0.805722393
